,Salary,Tenure_Months,churned,Total_Flights,Avg_Flights_Month,Max_Flights_Month,Total_Distance,Avg_Distance_Month,Total_Points_Acc,Total_Points_Red,Total_Dollar_Red,Redemption_Rate,Months_Since_Last_Flight,Zero_Activity_Months,Flights_Fall,Flights_Spring,Flights_Summer,Flights_Winter,CLV_log,Flight_consistency_score,Season_Concentration,Onehot__Gender_Male,Onehot__Marital Status_Married,Onehot__Marital Status_Single,Onehot__Enrollment Type_Standard,Onehot__Region_North,Onehot__Region_West,loyalty_card_encoded,Education_encoded,churn_probability,churn_predicted,cluster_labels
0,83236.0,34,0,37,1.5416666666666667,5,54525,2271.875,54525.0,1418,256,0.02600641907381935,0.0,10.0,8,10,16,3,8.253264103250517,3.3636363636363638,0.43243243243243246,0.0,1.0,0.0,1.0,0.0,0.0,0,2,0.019799914,0,1
1,0.0,33,0,58,2.4166666666666665,5,77487,3228.625,77487.0,1971,356,0.025436524836424175,0.0,6.0,11,17,19,11,8.253386487132452,8.285714285714286,0.3275862068965517,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0.021447336,0,1
2,0.0,53,1,18,0.75,4,24803,1033.4583333333333,24803.0,374,67,0.015078821110349555,11.0,16.0,4,6,3,5,8.25342293901077,1.0588235294117647,0.3333333333333333,1.0,0.0,1.0,1.0,0.0,1.0,0,1,0.9677462,1,0
3,0.0,70,0,35,1.4583333333333333,5,48432,2018.0,48432.0,1291,233,0.02665592996366039,0.0,9.0,8,11,7,9,8.25342293901077,3.5,0.3142857142857143,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0.013242017,0,1
4,103495.0,50,0,37,1.5416666666666667,5,55515,2313.125,55515.0,0,0,0.0,0.0,11.0,6,6,16,9,8.254214138004746,3.0833333333333335,0.43243243243243246,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0.02274913,0,1
5,51124.0,79,0,86,1.9545454545454546,6,138596,3149.909090909091,138596.0,1222,220,0.008816993275419203,0.0,14.0,17,20,32,17,8.25467711542596,5.733333333333333,0.37209302325581395,1.0,1.0,0.0,1.0,1.0,0.0,0,2,0.010332023,0,1
6,0.0,54,0,40,1.6666666666666667,6,61007,2541.9583333333335,61007.0,1583,285,0.02594784205091219,0.0,9.0,10,8,13,9,8.25815040472914,4.0,0.325,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0.018902449,0,1
7,100159.0,24,0,41,1.7083333333333333,5,72849,3035.375,72849.0,733,132,0.01006190888001208,2.0,9.0,8,13,15,5,8.259067332205886,4.1,0.36585365853658536,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0.10350344,0,1
8,100159.0,43,0,27,1.125,5,48968,2040.3333333333333,48968.0,1516,274,0.030958993628492075,4.0,12.0,1,18,4,4,8.259067332205886,2.076923076923077,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0,2,0.5072684,1,1
9,100159.0,26,0,44,1.8333333333333333,5,55849,2327.0416666666665,55849.0,1683,303,0.03013482783935254,1.0,11.0,8,17,14,5,8.259067332205886,3.6666666666666665,0.38636363636363635,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0.036435958,0,1
10,66444.0,45,0,51,2.125,5,81965,3415.2083333333335,81965.0,499,90,0.006087964375038126,1.0,6.0,16,12,16,7,8.259538419857607,7.285714285714286,0.3137254901960784,0.0,1.0,0.0,1.0,0.0,1.0,0,2,0.04901604,0,1
11,49618.0,30,0,31,1.2916666666666667,4,50773,2115.5416666666665,50773.0,1599,288,0.031493116420144567,1.0,11.0,5,7,11,8,8.259918751785882,2.5833333333333335,0.3548387096774194,0.0,1.0,0.0,1.0,0.0,1.0,0,2,0.038226604,0,1
12,90175.0,11,0,26,1.0833333333333333,4,38476,1603.1666666666667,38476.0,436,78,0.01133173926603597,0.0,15.0,9,7,3,7,8.260743600728864,1.625,0.34615384615384615,1.0,0.0,1.0,1.0,0.0,0.0,0,2,0.0220163,0,1
13,0.0,62,0,63,2.625,5,86527,3605.2916666666665,86527.0,1190,214,0.013752932610630209,0.0,4.0,10,22,13,18,8.26154452674545,12.6,0.3492063492063492,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0.021224953,0,1
14,0.0,25,0,26,1.0833333333333333,5,35769,1490.375,35769.0,2123,381,0.05935307109508233,1.0,14.0,6,0,14,6,8.261841481412983,1.7333333333333334,0.5384615384615384,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0.049842875,0,1
15,128118.0,28,0,35,1.4583333333333333,6,51158,2131.5833333333335,51158.0,1233,222,0.02410180225966613,0.0,10.0,7,5,15,8,8.262210615127472,3.1818181818181817,0.42857142857142855,1.0,1.0,0.0,1.0,0.0,0.0,0,3,0.01911934,0,1
16,128118.0,24,0,29,1.2083333333333333,5,44741,1864.2083333333333,44741.0,1053,189,0.0235354596455153,0.0,7.0,5,7,8,9,8.262210615127472,3.625,0.3103448275862069,0.0,1.0,0.0,1.0,0.0,1.0,0,3,0.019781299,0,1
17,94092.0,62,0,52,2.1666666666666665,6,67379,2807.4583333333335,67379.0,499,90,0.0074058682972439486,0.0,8.0,7,11,23,11,8.263531152509772,5.777777777777778,0.4423076923076923,1.0,1.0,0.0,1.0,0.0,0.0,0,2,0.028591678,0,1
18,0.0,9,0,40,3.6363636363636362,12,43352,3941.090909090909,65028.0,765,138,0.011764163129728732,0.0,5.0,2,13,16,9,8.576359809685407,6.666666666666667,0.4,0.0,0.0,1.0,0.0,0.0,1.0,2,1,0.16515362,0,2
19,0.0,50,1,20,0.8333333333333334,5,36872,1536.3333333333333,36872.0,0,0,0.0,13.0,16.0,5,1,9,5,8.265253996580775,1.1764705882352942,0.45,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0.9614032,1,0
20,0.0,41,0,36,1.5,7,60555,2523.125,60555.0,1965,353,0.03244983898934853,5.0,12.0,5,11,15,5,8.265253996580775,2.769230769230769,0.4166666666666667,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0.41494238,0,1
21,0.0,1,0,3,0.125,3,6783,282.625,6783.0,0,0,0.0,0.0,23.0,0,0,0,3,8.265253996580775,0.125,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,0.02841634,0,0
22,0.0,33,0,33,1.375,5,47139,1964.125,47139.0,1506,271,0.031948068478330045,6.0,11.0,3,13,10,7,8.265253996580775,2.75,0.3939393939393939,1.0,1.0,0.0,1.0,0.0,1.0,0,1,0.7734703,1,1
23,0.0,55,0,29,1.2083333333333333,4,38374,1598.9166666666667,38374.0,346,62,0.009016521603168813,0.0,12.0,4,13,6,6,8.26552155648749,2.230769230769231,0.4482758620689655,1.0,0.0,1.0,1.0,0.0,1.0,0,1,0.025650386,0,1
24,89062.0,31,0,44,1.8333333333333333,6,66909,2787.875,66909.0,1752,315,0.026184818185894274,0.0,5.0,7,13,12,12,8.265560140952102,7.333333333333333,0.29545454545454547,0.0,0.0,1.0,1.0,0.0,0.0,0,2,0.021619417,0,1
25,102400.0,42,0,32,1.3333333333333333,7,52110,2171.25,52110.0,0,0,0.0,1.0,12.0,5,3,19,5,8.265732466720246,2.4615384615384617,0.59375,0.0,0.0,1.0,1.0,0.0,0.0,0,2,0.049469907,0,1
26,98629.0,26,0,48,2.0,4,66723,2780.125,66723.0,911,164,0.013653462823913793,1.0,6.0,15,10,15,8,8.266645040898092,6.857142857142857,0.3125,1.0,1.0,0.0,1.0,0.0,1.0,0,2,0.04062552,0,1
